vendor_name,website_url,product_count,reachable,has_sitemap,sitemap_url,sitemap_product_urls,notes
Cass Brothers,,16894,False,False,,0,own brand - skip
Parisi,parisi.com.au,3064,True,True,https://parisi.com.au/sitemap.xml,0,
Rifco,rifco.com.au,2962,True,True,https://www.rifco.com.au/sitemap.xml,110,
Fienza,fienza.com.au,2215,True,True,https://fienza.com.au/sitemap.xml,0,
Phoenix Tapware,phoenixtapware.com.au,2140,True,True,https://www.phoenixtapware.com.au/sitemap.xml,0,
Villeroy & Boch,villeroy-boch.com.au,1996,False,False,,0,URL not verified
Caroma,caroma.com,1853,True,False,,0,
Nero Tapware,nerotapware.com.au,1814,True,True,https://nerotapware.com.au/sitemap.xml,0,
Timberline,timberlinebathroom.com.au,1518,False,False,,0,URL not verified
Gessi,gessi.com,1049,True,True,https://www.gessi.com/sitemap.xml,0,
Argent,argentaustralia.com.au,866,False,False,,0,URL not verified
Velux,velux.com.au,777,True,True,https://www.velux.com.au/sitemap.xml,55,
Avenir,avenirbathroom.com.au,758,False,False,,0,URL not verified
Cassa Design,cassadesign.com.au,739,False,False,,0,URL not verified
Oliveri,oliveri.com.au,729,True,True,https://oliveri.com.au/sitemap.xml,0,
Verotti,verotti.com,622,True,True,https://verotti.com/sitemap.xml,0,
Thermogroup,thermogroup.com.au,614,True,False,,0,
Franke,franke.com,607,True,False,,0,
Puretec,puretec.com.au,595,True,False,,0,
Cass Brothers Grates,,561,False,False,,0,own brand - skip
Greens,greenstapware.com.au,524,True,True,https://greenstapware.com.au/sitemap.xml,175,
Gareth Ashton,garethashton.com.au,508,False,False,,0,URL not verified
Brodware,brodware.com,498,True,True,https://brodware.com/sitemap.xml,0,
Kaldewei,kaldewei.com,491,True,True,https://www.kaldewei.com/sitemap.xml,0,
Turner Hastings,turnerhastings.com.au,479,True,True,https://www.turnerhastings.com.au/sitemap.xml,0,
Studio Bagno,studiobagno.com.au,459,True,False,,0,
ADP,adpaustralia.com.au,442,True,True,https://www.adpaustralia.com.au/sitemap.xml,0,
Hansgrohe,hansgrohe.com.au,435,False,False,,0,URL not verified
Zip,zipwater.com,414,True,True,https://www.zipwater.com/sitemap.xml,7,
Abey,abey.com.au,399,True,True,https://www.abey.com.au/sitemap.xml,0,
Lauxes,lauxesgrates.com.au,390,True,True,https://lauxesgrates.com.au/sitemap.xml,0,
Pietra Bianca,pietrabianca.com.au,381,False,False,,0,URL not verified
Duravit,duravit.com.au,359,True,True,https://duravit.com.au/sitemap.xml,17,
Globo,ceramicaglobo.com,302,True,True,https://www.ceramicaglobo.com/sitemap.xml,0,
PLD,pld.com.au,301,False,False,,0,URL not verified
Sussex,sussextaps.com.au,270,True,True,https://sussextaps.com.au/sitemap.xml,0,
Blanco,blanco.com.au,245,True,False,,0,
Decina,decina.com.au,236,True,True,https://decina.com.au/sitemap.xml,0,
Victoria + Albert,vandabaths.com,230,True,True,https://vandabaths.com/sitemap.xml,0,
Euro Appliances,euroappliances.com.au,222,True,True,https://www.euroappliances.au/sitemap.xml,104,
Clark,clark.com,216,True,False,,0,
Dorf,dorf.com.au,214,True,False,,0,
Billi,billi.com.au,213,False,False,,0,URL not verified
Marquis,marquis.com.au,197,True,True,https://marquis.com.au/sitemap.xml,0,
Bathroom Butler,bathroombutler.com.au,196,True,True,https://www.bathroombutler.com/sitemap.xml,0,
Bespoke,bespoke.com,191,True,False,,0,
TOTO,toto.com.au,170,True,False,,0,
Rinnai,rinnai.com.au,157,True,True,https://www.rinnai.com.au/sitemap.xml,0,
Armando Vicario,armandovicario.com.au,154,False,False,,0,URL not verified
Newform,newform.com.au,150,True,True,https://newform.com.au/sitemap.xml,0,
Timberline x Shaynna Blaze,,149,False,False,,0,own brand - skip
Stormtech,stormtech.com.au,145,True,False,,0,
Mixx Tapware,mixxtapware.com.au,141,False,False,,0,URL not verified
Hansa,hansa.com,117,True,False,,0,
Shaws,shaws.com.au,112,False,False,,0,URL not verified
Milu Odourless,milu.com.au,111,True,True,https://milu.com.au/sitemap.xml,0,
DADOquartzÂ®,dadoquartz.com.au,110,False,False,,0,URL not verified
Geberit,geberit.com.au,103,True,True,https://www.geberit.com.au/sitemap.xml,0,
cassbrothers,,102,False,False,,0,own brand - skip
Master Rail,masterrail.com.au,97,False,False,,0,URL not verified
Bette,bette.com.au,90,False,False,,0,URL not verified
Fima,fima.com.au,90,True,True,https://www.fima.com.au/sitemap.xml,0,
Linkware,linkware.com,86,True,True,https://deskerio.com/sitemap.xml,0,
Methven,methven.com.au,84,True,True,https://www.jelliscraig.com.au/sitemap.xml,0,
Arcisan,arcisan.com.au,83,True,True,https://www.streamlineproducts.com.au/sitemap.xml,0,
Rheem,rheem.com.au,81,True,False,,0,
Linsol,linsol.com.au,79,True,True,https://linsol.com.au/sitemap.xml,1528,
Hotwire,hotwire.com.au,77,True,True,https://www.hotwire.com.au/sitemap.xml,0,
Insinkerator,insinkerator.com,77,True,False,,0,
Concrete Studio,concretestudio.com.au,76,True,True,https://concrete.studio/sitemap.xml,0,
Gentec,gentec.com.au,76,True,True,https://gentec.com.au/sitemap.xml,0,
Auscan,auscan.com.au,74,True,False,,0,
Expella,expella.com.au,74,True,True,https://expella.com.au/sitemap.xml,0,
Omega Appliances,omega-appliances.com.au,68,False,False,,0,URL not verified
Aquas,aquas.com.au,67,True,True,https://www.app.com.au/sitemap.xml,0,
Kohler,kohler.com.au,67,True,False,,0,
Ledin Australia,ledin.com.au,62,False,False,,0,URL not verified
Elson,elson.com.au,61,True,True,https://www.elson.com.au/sitemap.xml,0,
Suprema Xpressfit,xpressfit.com.au,59,False,False,,0,URL not verified
Bahco,bahco.com.au,55,True,True,https://bahco.com.au/sitemap.xml,0,
Gallaria,gallaria.com,54,True,True,https://gallaria.com/sitemap.xml,0,
KWC,kwc.com.au,52,True,True,https://www.kwc.com.au/sitemap.xml,0,
Haron,haron.com.au,50,True,True,https://haron.com.au/sitemap.xml,0,
IXL,ixl.com.au,49,True,False,,0,
Allvent,allvent.com,46,True,True,https://www.hugedomains.com/sitemap.xml,0,
Ventair,ventair.com.au,45,True,False,,0,
TECE,tece.com,44,True,True,https://www.tece.com/sitemap.xml,0,
Meir Tapware,meirtapware.com.au,42,False,False,,0,URL not verified
Rainware,rainware.com.au,42,True,True,https://rainware.com.au/sitemap.xml,0,
Stiebel Eltron,stiebel-eltron.com.au,42,True,True,https://www.stiebel-eltron.com.au/sitemap.xml,0,
Reginox,reginox.com,39,True,True,https://www.reginox.com/sitemap.xml,2847,
Bounty Brassware,bountybrassware.com.au,38,True,True,https://artaust.com.au/sitemap.xml,0,
Schell,schell.com.au,36,True,False,,0,
Reln,reln.com.au,34,True,True,https://reln.com.au/sitemap.xml,0,
JEE-O,jee-o.com,32,True,True,https://jee-o.com/sitemap.xml,0,
Saniflo,saniflo.com.au,31,False,False,,0,URL not verified
Fix a Tap,fixatap.com.au,30,True,True,https://fixatap.com.au/sitemap.xml,0,
Viega,viega.com.au,29,True,False,,0,
Hydrotherm,hydrotherm.com.au,28,True,True,https://www.hydrotherm.com.au/sitemap.xml,0,
Kaskade,kaskade.com.au,28,True,False,,0,
Fix A Loo,fixaloo.com.au,27,False,False,,0,URL not verified
Zucchetti,zucchetti.com.au,27,True,False,,0,
Deflecto,deflecto.com.au,25,True,True,https://www.deflecto.com.au/sitemap.xml,0,
Paco Jaanson,pacojaanson.com.au,23,True,True,https://pacojaanson.com.au/sitemap_index.xml,0,
MAMO,mamo.com.au,22,True,True,https://mamo.com.au/sitemap.xml,134,
Cee Jay,ceejay.com.au,21,True,True,https://ceejay.au/sitemap.xml,0,
Flexispray,flexispray.com.au,21,False,False,,0,URL not verified
TURNER HASTINGS (TURHAS),turnerhastings(turhas).com.au,20,False,False,,0,URL not verified
Hammock Bath,hammockbath.com.au,19,True,True,https://hammockbath.com.au/sitemap.xml,0,
Metlam,metlam.com.au,19,True,False,,0,
Millennium,millennium.com.au,19,True,True,https://millennium.com.au/sitemap.xml,0,
Bromic,bromic.com.au,17,True,True,https://www.bromic.com.au/sitemap.xml,0,
GRO Agencies,groagencies.com.au,16,True,False,,0,
RMC,rmc.com.au,16,True,True,https://www.rmc.com.au/sitemap.xml,0,
Nefa,nefa.com,15,True,True,https://www.nefa.com/sitemap.xml,0,
Sterling,sterling.com.au,13,True,True,https://sterling.com.au/sitemap.xml,0,
BTH,bth.com.au,12,True,True,https://www.emails.com.au/sitemap.xml,0,
Emroware,emroware.com.au,12,False,False,,0,URL not verified
Fluidmaster,fluidmaster.com.au,11,True,True,https://fluidmaster.com/sitemap.xml,0,
UDO Systems,udosystems.com,11,True,True,https://udosystems.com/sitemap.xml,0,
3monkeez,3monkeez.com.au,10,True,False,,0,
Axor,axor.com,10,True,True,https://www.axor.com/sitemap.xml,0,
Brasshards,brasshards.com,10,True,True,https://brasshards.com/sitemap.xml,0,
Hand Spray,handspray.com.au,10,True,True,https://handspray.com.au/sitemap.xml,0,
Stylus,stylus.com,10,True,True,https://stylus.com/sitemap.xml,0,
